SIC4_cd,SIC4_desc,ind_cd,ind_desc,maj_cd,maj_desc,div_cd,div_desc
0111,Wheat,011,Cash Grains,01,Agricultural Production Crops,A,"Agriculture, Forestry, And Fishing"
0112,Rice,011,Cash Grains,01,Agricultural Production Crops,A,"Agriculture, Forestry, And Fishing"
0115,Corn,011,Cash Grains,01,Agricultural Production Crops,A,"Agriculture, Forestry, And Fishing"
0116,Soybeans,011,Cash Grains,01,Agricultural Production Crops,A,"Agriculture, Forestry, And Fishing"
0119,"Cash Grains, Not Elsewhere Classified",011,Cash Grains,01,Agricultural Production Crops,A,"Agriculture, Forestry, And Fishing"
0131,Cotton,013,"Field Crops, Except Cash Grains",01,Agricultural Production Crops,A,"Agriculture, Forestry, And Fishing"
0132,Tobacco,013,"Field Crops, Except Cash Grains",01,Agricultural Production Crops,A,"Agriculture, Forestry, And Fishing"
0133,Sugarcane and Sugar Beets,013,"Field Crops, Except Cash Grains",01,Agricultural Production Crops,A,"Agriculture, Forestry, And Fishing"
0134,Irish Potatoes,013,"Field Crops, Except Cash Grains",01,Agricultural Production Crops,A,"Agriculture, Forestry, And Fishing"
0139,"Field Crops, Except Cash Grains, Not Elsewhere Classified",013,"Field Crops, Except Cash Grains",01,Agricultural Production Crops,A,"Agriculture, Forestry, And Fishing"
0161,Vegetables and Melons,016,Vegetables And Melons,01,Agricultural Production Crops,A,"Agriculture, Forestry, And Fishing"
0171,Berry Crops,017,Fruits And Tree Nuts,01,Agricultural Production Crops,A,"Agriculture, Forestry, And Fishing"
0172,Grapes,017,Fruits And Tree Nuts,01,Agricultural Production Crops,A,"Agriculture, Forestry, And Fishing"
0173,Tree Nuts,017,Fruits And Tree Nuts,01,Agricultural Production Crops,A,"Agriculture, Forestry, And Fishing"
0174,Citrus Fruits,017,Fruits And Tree Nuts,01,Agricultural Production Crops,A,"Agriculture, Forestry, And Fishing"
0175,Deciduous Tree Fruits,017,Fruits And Tree Nuts,01,Agricultural Production Crops,A,"Agriculture, Forestry, And Fishing"
0179,"Fruits and Tree Nuts, Not Elsewhere Classified",017,Fruits And Tree Nuts,01,Agricultural Production Crops,A,"Agriculture, Forestry, And Fishing"
0181,Ornamental Floriculture and Nursery Products,018,Horticultural Specialties,01,Agricultural Production Crops,A,"Agriculture, Forestry, And Fishing"
0182,Food Crops Grown Under Cover,018,Horticultural Specialties,01,Agricultural Production Crops,A,"Agriculture, Forestry, And Fishing"
0191,"General Farms, Primarily Crop",019,"General Farms, Primarily Crop",01,Agricultural Production Crops,A,"Agriculture, Forestry, And Fishing"
0211,Beef Cattle Feedlots,021,"Livestock, Except Dairy And Poultry",02,Agriculture production livestock and animal specialties,A,"Agriculture, Forestry, And Fishing"
0212,"Beef Cattle, Except Feedlots",021,"Livestock, Except Dairy And Poultry",02,Agriculture production livestock and animal specialties,A,"Agriculture, Forestry, And Fishing"
0213,Hogs,021,"Livestock, Except Dairy And Poultry",02,Agriculture production livestock and animal specialties,A,"Agriculture, Forestry, And Fishing"
0214,Sheep and Goats,021,"Livestock, Except Dairy And Poultry",02,Agriculture production livestock and animal specialties,A,"Agriculture, Forestry, And Fishing"
0219,"General Livestock, Except Dairy and Poultry",021,"Livestock, Except Dairy And Poultry",02,Agriculture production livestock and animal specialties,A,"Agriculture, Forestry, And Fishing"
0241,Dairy Farms,024,Dairy Farms,02,Agriculture production livestock and animal specialties,A,"Agriculture, Forestry, And Fishing"
0251,"Broiler, Fryer, and Roaster Chickens",025,Poultry And Eggs,02,Agriculture production livestock and animal specialties,A,"Agriculture, Forestry, And Fishing"
0252,Chicken Eggs,025,Poultry And Eggs,02,Agriculture production livestock and animal specialties,A,"Agriculture, Forestry, And Fishing"
0253,Turkeys and Turkey Eggs,025,Poultry And Eggs,02,Agriculture production livestock and animal specialties,A,"Agriculture, Forestry, And Fishing"
0254,Poultry Hatcheries,025,Poultry And Eggs,02,Agriculture production livestock and animal specialties,A,"Agriculture, Forestry, And Fishing"
0259,"Poultry and Eggs, Not Elsewhere Classified",025,Poultry And Eggs,02,Agriculture production livestock and animal specialties,A,"Agriculture, Forestry, And Fishing"
0271,Fur-Bearing Animals and Rabbits,027,Animal Specialties,02,Agriculture production livestock and animal specialties,A,"Agriculture, Forestry, And Fishing"
