"SIC4_cd","AD_office","industry_title"
"100","5","AGRICULTURAL PRODUCTION-CROPS"
"200","5","AGRICULTURAL PROD-LIVESTOCK & ANIMAL SPECIALTIES"
"700","5","AGRICULTURAL SERVICES"
"800","5","FORESTRY"
"900","5","FISHING, HUNTING AND TRAPPING"
"1000","9","METAL MINING"
"1040","9","GOLD AND SILVER ORES"
"1090","9","MISCELLANEOUS METAL ORES"
"1220","9","BITUMINOUS COAL & LIGNITE MINING"
"1221","9","BITUMINOUS COAL & LIGNITE SURFACE MINING"
"1311","4","CRUDE PETROLEUM & NATURAL GAS"
"1381","4","DRILLING OIL & GAS WELLS"
"1382","4","OIL & GAS FIELD EXPLORATION SERVICES"
"1389","4","OIL & GAS FIELD SERVICES, NEC"
"1400","9","MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS)"
"1520","6","GENERAL BLDG CONTRACTORS - RESIDENTIAL BLDGS"
"1531","6","OPERATIVE BUILDERS"
"1540","6","GENERAL BLDG CONTRACTORS - NONRESIDENTIAL BLDGS"
"1600","6","HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS"
"1623","6","WATER, SEWER, PIPELINE, COMM & POWER LINE CONSTRUCTION"
"1700","6","CONSTRUCTION - SPECIAL TRADE CONTRACTORS"
"1731","6","ELECTRICAL WORK"
"2000","4","FOOD AND KINDRED PRODUCTS"
"2011","5","MEAT PACKING PLANTS"
"2013","5","SAUSAGES & OTHER PREPARED MEAT PRODUCTS"
"2015","5","POULTRY SLAUGHTERING AND PROCESSING"
"2020","4","DAIRY PRODUCTS"
"2024","4","ICE CREAM & FROZEN DESSERTS"
"2030","4","CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES"
"2033","4","CANNED, FRUITS, VEG, PRESERVES, JAMS & JELLIES"
"2040","4","GRAIN MILL PRODUCTS"
"2050","4","BAKERY PRODUCTS"
"2052","4","COOKIES & CRACKERS"
"2060","4","SUGAR & CONFECTIONERY PRODUCTS"
"2070","4","FATS & OILS"
"2080","9","BEVERAGES"
"2082","9","MALT BEVERAGES"
"2086","9","BOTTLED & CANNED SOFT DRINKS & CARBONATED WATERS"
"2090","4","MISCELLANEOUS FOOD PREPARATIONS & KINDRED PRODUCTS"
"2092","4","PREPARED FRESH OR FROZEN FISH & SEAFOODS"
"2100","5","TOBACCO PRODUCTS"
"2111","5","CIGARETTES"
"2200","2","TEXTILE MILL PRODUCTS"
"2211","2","BROADWOVEN FABRIC MILLS, COTTON"
"2221","2","BROADWOVEN FABRIC MILLS, MAN MADE FIBER & SILK"
"2250","2","KNITTING MILLS"
"2253","9","KNIT OUTERWEAR MILLS"
"2273","2","CARPETS & RUGS"
"2300","9","APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL"
"2320","9","MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS"
"2330","9","WOMEN'S, MISSES', AND JUNIORS OUTERWEAR"
"2340","9","WOMEN'S, MISSES', CHILDREN'S & INFANTS' UNDERGARMENTS"
"2390","9","MISCELLANEOUS FABRICATED TEXTILE PRODUCTS"
"2400","6","LUMBER & WOOD PRODUCTS (NO FURNITURE)"
"2421","6","SAWMILLS & PLANTING MILLS, GENERAL"
"2430","6","MILLWOOD, VENEER, PLYWOOD, & STRUCTURAL WOOD MEMBERS"
"2451","6","MOBILE HOMES"
"2452","6","PREFABRICATED WOOD BLDGS & COMPONENTS"
"2510","6","HOUSEHOLD FURNITURE"
"2511","6","WOOD HOUSEHOLD FURNITURE, (NO UPHOLSTERED)"
"2520","6","OFFICE FURNITURE"
"2522","6","OFFICE FURNITURE (NO WOOD)"
"2531","6","PUBLIC BLDG & RELATED FURNITURE"
"2540","6","PARTITIONS, SHELVG, LOCKERS, & OFFICE & STORE FIXTURES"
"2590","6","MISCELLANEOUS FURNITURE & FIXTURES"
"2600","4","PAPERS & ALLIED PRODUCTS"
"2611","4","PULP MILLS"
"2621","4","PAPER MILLS"
"2631","4","PAPERBOARD MILLS"
"2650","4","PAPERBOARD CONTAINERS & BOXES"
"2670","4","CONVERTED PAPER & PAPERBOARD PRODS (NO CONTANERS/BOXES)"
"2673","6","PLASTICS, FOIL & COATED PAPER BAGS"
"2711","5","NEWSPAPERS: PUBLISHING OR PUBLISHING & PRINTING"
"2721","5","PERIODICALS: PUBLISHING OR PUBLISHING & PRINTING"
"2731","5","BOOKS: PUBLISHING OR PUBLISHING & PRINTING"
"2732","5","BOOK PRINTING"
"2741","5","MISCELLANEOUS PUBLISHING"
"2750","5","COMMERCIAL PRINTING"
"2761","5","MANIFOLD BUSINESS FORMS"
"2771","5","GREETING CARDS"
"2780","5","BLANKBOOKS, LOOSELEAF BINDERS & BOOKBINDG & RELATD WORK"
"2790","5","SERVICE INDUSTRIES FOR THE PRINTING TRADE"
"2800","6","CHEMICALS & ALLIED PRODUCTS"
"2810","6","INDUSTRIAL INORGANIC CHEMICALS"
"2820","6","PLASTIC MATERIAL, SYNTH RESIN/RUBBER, CELLULOS (NO GLASS)"
"2821","6","PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS"
"2833","1","MEDICINAL CHEMICALS & BOTANICAL PRODUCTS"
"2834","1","PHARMACEUTICAL PREPARATIONS"
"2835","1","IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES"
